Fecha,Departamento,Municipio,Evento,Fallecidos,Heridos,Familias,Viviendas Destruidas,Hectareas,Recursos Ejecutados,Valor Kit De Alimento,Valor Materiales De Construccion,Año,Mes
2019-02-07,MAGDALENA,ALGARROBO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,600.0,0.0,0.0,0.0,2019,2
2019-02-08,MAGDALENA,ALGARROBO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0,2019,2
2019-02-12,MAGDALENA,ALGARROBO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,2
2019-02-14,MAGDALENA,ALGARROBO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0,2019,2
2019-02-18,MAGDALENA,ALGARROBO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,2
2019-03-06,MAGDALENA,ALGARROBO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,3
2019-03-17,TOLIMA,CHAPARRAL,MOVIMIENTO EN MASA,2,2,0,1,0.0,0.0,0.0,0.0,2019,3
2019-03-17,CUNDINAMARCA,CAQUEZA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0,2019,3
2019-03-17,LA GUAJIRA,LA JAGUA DEL PILAR,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,100.0,0.0,0.0,0.0,2019,3
2019-03-17,CASANARE,YOPAL,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0.0,0.0,0.0,0.0,2019,3
2019-03-17,MAGDALENA,ARACATACA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,900.0,0.0,0.0,0.0,2019,3
2019-03-17,CUNDINAMARCA,PAIME,VENDAVAL,0,0,0,25,0.0,0.0,0.0,0.0,2019,3
2019-03-17,CUNDINAMARCA,ANAPOIMA,VENDAVAL,0,0,3,0,0.0,0.0,0.0,0.0,2019,3
2019-03-17,QUINDIO,ARMENIA,INCENDIO ESTRUCTURAL,0,0,0,0,0.0,0.0,0.0,0.0,2019,3
2019-03-17,BOLIVAR,NOROSI,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0.0,0.0,0.0,0.0,2019,3
2019-03-17,BOLIVAR,REGIDOR,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0.0,0.0,0.0,0.0,2019,3
2019-03-17,NARIÑO,MOSQUERA,INCENDIO ESTRUCTURAL,0,0,9,5,0.0,0.0,0.0,0.0,2019,3
2019-03-17,META,PUERTO LOPEZ,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4.0,0.0,0.0,0.0,2019,3
2019-03-18,LA GUAJIRA,FONSECA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2500.0,0.0,0.0,0.0,2019,3
2019-03-18,MAGDALENA,CIENAGA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,12.0,0.0,0.0,0.0,2019,3
2019-03-07,CORDOBA,CHINU,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,40.0,0.0,0.0,0.0,2019,3
2019-03-16,CORDOBA,TIERRALTA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,20.0,0.0,0.0,0.0,2019,3
2019-03-16,CORDOBA,TIERRALTA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,30.0,0.0,0.0,0.0,2019,3
2019-03-16,CORDOBA,MONTELIBANO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,5.0,0.0,0.0,0.0,2019,3
2019-03-16,CORDOBA,SAHAGUN,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,20.0,0.0,0.0,0.0,2019,3
2019-03-18,CUNDINAMARCA,TOPAIPI,MOVIMIENTO EN MASA,0,0,1,1,0.0,0.0,0.0,0.0,2019,3
2019-03-18,CUNDINAMARCA,GUAYABETAL,ACCIDENTE TRANSPORTE TERRESTRE,5,2,0,0,0.0,0.0,0.0,0.0,2019,3
2019-03-18,META,PUERTO LOPEZ,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0.0,0.0,0.0,0.0,2019,3
2019-03-18,META,PUERTO CONCORDIA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,10.0,0.0,0.0,0.0,2019,3
2019-03-18,CUNDINAMARCA,FOMEQUE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,6.0,0.0,0.0,0.0,2019,3
2019-03-18,CUNDINAMARCA,CHIPAQUE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,3
2019-03-17,ANTIOQUIA,CAREPA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,25.0,0.0,0.0,0.0,2019,3
2019-03-18,CESAR,SAN DIEGO,ACCIDENTE TRANSPORTE TERRESTRE,2,15,0,0,0.0,0.0,0.0,0.0,2019,3
2019-03-17,CUNDINAMARCA,SILVANIA,ACCIDENTE TRANSPORTE TERRESTRE,1,1,32,0,0.0,0.0,0.0,0.0,2019,3
2019-03-17,ANTIOQUIA,SAN JERONIMO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,5.0,0.0,0.0,0.0,2019,3
2019-03-19,ANTIOQUIA,PUERTO NARE,INUNDACION,0,0,0,0,0.0,0.0,0.0,0.0,2019,3
2019-03-19,QUINDIO,ARMENIA,DERRAME,0,9,0,0,0.0,0.0,0.0,0.0,2019,3
2019-03-19,BOYACA,MUZO,ACCIDENTE TRANSPORTE MARITIMO O FLUVIAL,3,8,0,0,0.0,0.0,0.0,0.0,2019,3
2019-03-18,CHOCO,EL LITORAL DEL SAN JUAN,INCENDIO ESTRUCTURAL,0,0,1,1,0.0,0.0,0.0,0.0,2019,3
2019-03-19,CASANARE,AGUAZUL,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,70.0,0.0,0.0,0.0,2019,3
2019-03-19,RISARALDA,MISTRATO,MOVIMIENTO EN MASA,0,0,0,0,0.0,0.0,0.0,0.0,2019,3
2019-03-19,CALDAS,MANIZALES,MOVIMIENTO EN MASA,0,0,1,0,0.0,0.0,0.0,0.0,2019,3
2019-03-18,CUNDINAMARCA,FOMEQUE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,22.0,0.0,0.0,0.0,2019,3
2019-03-19,CUNDINAMARCA,SAN JUAN DE RIO SECO,TORMENTA ELECTRICA,1,2,0,0,0.0,0.0,0.0,0.0,2019,3
2019-03-19,CESAR,EL PASO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,10.0,0.0,0.0,0.0,2019,3
2019-03-19,CHOCO,CONDOTO,MOVIMIENTO EN MASA,0,0,6,0,0.0,0.0,0.0,0.0,2019,3
2019-03-19,MAGDALENA,ARACATACA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,30.0,0.0,0.0,0.0,2019,3
2019-03-18,TOLIMA,PURIFICACION,VENDAVAL,0,0,23,2,0.0,61550587.0,0.0,47391015.0,2019,3
2019-03-18,CESAR,PAILITAS,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,10.0,0.0,0.0,0.0,2019,3
2019-03-19,NARIÑO,RICAURTE,MOVIMIENTO EN MASA,0,0,0,0,0.0,0.0,0.0,0.0,2019,3
2019-03-15,CAUCA,LA VEGA,VENDAVAL,0,0,1,0,0.0,0.0,0.0,0.0,2019,3
2019-03-18,CAUCA,CAJIBIO,TORMENTA ELECTRICA,1,0,4,0,0.0,0.0,0.0,0.0,2019,3
2019-03-19,CAUCA,PIENDAMO,VENDAVAL,0,0,0,0,0.0,0.0,0.0,0.0,2019,3
2019-03-19,CHOCO,CONDOTO,INUNDACION,0,0,20,0,0.0,1016348694.73,0.0,0.0,2019,3
2019-03-20,QUINDIO,ARMENIA,INCENDIO ESTRUCTURAL,0,3,3,0,0.0,0.0,0.0,0.0,2019,3
2019-03-18,CASANARE,TRINIDAD,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,62.0,0.0,0.0,0.0,2019,3
2019-01-31,SANTANDER,AGUADA,SEQUIA,0,0,0,0,0.0,0.0,0.0,0.0,2019,1
2019-02-19,SANTANDER,GUAVATA,SEQUIA,0,0,0,0,0.0,0.0,0.0,0.0,2019,2
2019-03-15,CAUCA,BOLIVAR,INCENDIO ESTRUCTURAL,0,0,0,0,0.0,0.0,0.0,0.0,2019,3
2019-03-14,CAUCA,LA VEGA,TORMENTA ELECTRICA,0,0,0,0,0.0,0.0,0.0,0.0,2019,3
2019-03-19,CAUCA,PUERTO TEJADA,AVENIDA TORRENCIAL,0,0,27,8,0.0,0.0,0.0,0.0,2019,3
2019-03-20,CAUCA,MIRANDA,AVENIDA TORRENCIAL,0,0,0,0,0.0,0.0,0.0,0.0,2019,3
2019-03-19,CAUCA,CORINTO,AVENIDA TORRENCIAL,0,0,0,0,0.0,0.0,0.0,0.0,2019,3
2019-03-19,CAUCA,TIMBIQUI,VENDAVAL,0,0,1,0,0.0,0.0,0.0,0.0,2019,3
2019-03-20,CHOCO,QUIBDO,INCENDIO ESTRUCTURAL,0,0,6,2,0.0,0.0,0.0,0.0,2019,3
2019-03-20,TOLIMA,DOLORES,VENDAVAL,0,0,10,0,0.0,0.0,0.0,0.0,2019,3
2019-03-20,TOLIMA,FRESNO,INUNDACION,0,0,7,0,0.0,0.0,0.0,0.0,2019,3
2019-03-19,"BOGOTA, D.C.","BOGOTA, D.C.",INUNDACION,0,0,13,0,0.0,0.0,0.0,0.0,2019,3
2019-03-20,SANTANDER,ZAPATOCA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,6.0,0.0,0.0,0.0,2019,3
2019-03-20,CHOCO,QUIBDO,VENDAVAL,0,0,0,0,0.0,0.0,0.0,0.0,2019,3
2019-03-21,VALLE DEL CAUCA,DAGUA,EXPLOSION,10,4,0,0,0.0,0.0,0.0,0.0,2019,3
2019-03-19,CUNDINAMARCA,SESQUILE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0,2019,3
2019-03-20,CUNDINAMARCA,CHOCONTA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0,2019,3
2019-03-21,CUNDINAMARCA,SAN BERNARDO,VENDAVAL,0,0,2,0,0.0,0.0,0.0,0.0,2019,3
2019-03-21,META,PUERTO LOPEZ,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0.0,0.0,0.0,0.0,2019,3
2019-03-21,MAGDALENA,CIENAGA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0.0,0.0,0.0,0.0,2019,3
2019-03-21,CORDOBA,TIERRALTA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,8.0,0.0,0.0,0.0,2019,3
2019-03-21,CHOCO,RIOSUCIO,INCENDIO ESTRUCTURAL,0,0,1,1,0.0,0.0,0.0,0.0,2019,3
2019-03-21,QUINDIO,LA TEBAIDA,INCENDIO ESTRUCTURAL,0,0,2,2,0.0,0.0,0.0,0.0,2019,3
2019-03-22,QUINDIO,ARMENIA,INCENDIO ESTRUCTURAL,0,0,0,0,0.0,0.0,0.0,0.0,2019,3
2019-03-20,GUAINIA,INIRIDA,VENDAVAL,0,0,2,1,0.0,0.0,0.0,0.0,2019,3
2019-03-22,BOYACA,PAEZ,OTROS,0,0,0,0,0.0,0.0,0.0,0.0,2019,3
2019-03-10,CUNDINAMARCA,YACOPI,VENDAVAL,0,0,28,0,0.0,0.0,0.0,0.0,2019,3
2019-03-22,VALLE DEL CAUCA,CALI,VENDAVAL,0,0,7,0,0.0,0.0,0.0,0.0,2019,3
